name= Apple, taxpayer id= 780571122, id= 3": 
office phone: , 88127772211, 
fax: , 88127772211, 
name= Kirill, lastname= Petrov, id= 2": 
home phone: , 12345, 
job adress: , [Finland, Helsinki, Malminkatu, 5A, 10], 
mobile phone: , 89119991122, 
home adress: , [Russia, SPb, Nevskiy, 1, 5], 
name= Nikita, lastname= Kozlov, id= 1": 
home phone: , 12345, 
private email: , n_kozlov@gmail.com, 
job adress: , [Finland, Helsinki, Malminkatu, 5A, 10], 
mobile phone: , 89119991122, 
home page: , https://vk.com/n_kozlov, 
home adress: , [Russia, SPb, Nevskiy, 1, 5], 
telegram: , @n_kozlov, 
